# LUMINA-SN GPU Spectrum (Escaped Packets)
# n_packets=20000000, n_emitted=3989129
wavelength_A,flux
6720.50,1.070000e+03
6727.50,1.013000e+03
6734.50,9.290000e+02
6741.50,9.820000e+02
6748.50,9.670000e+02
6755.50,9.360000e+02
6762.50,9.580000e+02
6769.50,9.990000e+02
6776.50,9.600000e+02
6783.50,9.240000e+02
6790.50,9.740000e+02
6797.50,9.080000e+02
6804.50,9.150000e+02
6811.50,1.018000e+03
6818.50,9.320000e+02
6825.50,9.340000e+02
6832.50,8.480000e+02
6839.50,9.820000e+02
6846.50,9.400000e+02
6853.50,9.690000e+02
6860.50,9.210000e+02
6867.50,9.380000e+02
6874.50,9.390000e+02
6881.50,8.830000e+02
6888.50,9.540000e+02
6895.50,9.380000e+02
6902.50,8.900000e+02
6909.50,9.720000e+02
6916.50,8.920000e+02
6923.50,9.020000e+02
6930.50,9.220000e+02
6937.50,9.070000e+02
6944.50,9.320000e+02
6951.50,8.970000e+02
6958.50,9.200000e+02
6965.50,8.320000e+02
6972.50,8.570000e+02
6979.50,8.980000e+02
6986.50,8.340000e+02
6993.50,8.750000e+02
7000.50,8.180000e+02
7007.50,8.780000e+02
7014.50,8.900000e+02
7021.50,8.710000e+02
7028.50,8.680000e+02
7035.50,8.640000e+02
7042.50,8.750000e+02
7049.50,8.140000e+02
7056.50,8.450000e+02
7063.50,7.990000e+02
7070.50,8.900000e+02
7077.50,8.320000e+02
7084.50,8.610000e+02
7091.50,8.230000e+02
7098.50,8.610000e+02
7105.50,7.830000e+02
7112.50,7.940000e+02
7119.50,8.990000e+02
7126.50,8.010000e+02
7133.50,8.000000e+02
7140.50,7.640000e+02
7147.50,7.720000e+02
7154.50,8.460000e+02
7161.50,8.000000e+02
7168.50,7.640000e+02
7175.50,8.480000e+02
7182.50,8.040000e+02
7189.50,7.720000e+02
7196.50,8.120000e+02
7203.50,8.320000e+02
7210.50,8.150000e+02
7217.50,7.970000e+02
7224.50,8.060000e+02
7231.50,7.660000e+02
7238.50,7.770000e+02
7245.50,7.600000e+02
7252.50,7.710000e+02
7259.50,7.470000e+02
7266.50,8.060000e+02
7273.50,7.670000e+02
7280.50,7.870000e+02
7287.50,7.740000e+02
7294.50,7.810000e+02
7301.50,7.740000e+02
7308.50,7.040000e+02
7315.50,8.180000e+02
7322.50,7.250000e+02
7329.50,7.500000e+02
7336.50,7.880000e+02
7343.50,7.560000e+02
