# Wavelength(A) Luminosity_density(erg/s/A)
5.403945e+03 1.154304e+39
5.400540e+03 6.196822e+38
5.397140e+03 9.950782e+38
5.393743e+03 1.130801e+39
5.390351e+03 8.117896e+38
5.386964e+03 6.336008e+38
5.383580e+03 9.861897e+38
5.380201e+03 1.197946e+39
5.376826e+03 9.584403e+38
5.373455e+03 1.082842e+39
5.370089e+03 1.280772e+39
5.366726e+03 8.892489e+38
5.363368e+03 1.814545e+39
5.360014e+03 8.900783e+38
5.356665e+03 1.002484e+39
5.353319e+03 1.531243e+39
5.349978e+03 1.293763e+39
5.346641e+03 1.199087e+39
5.343308e+03 1.001632e+39
5.339979e+03 4.447454e+38
5.336654e+03 9.166382e+38
5.333333e+03 4.625627e+38
5.330017e+03 8.948124e+38
5.326705e+03 1.267904e+39
5.323396e+03 1.199377e+39
5.320092e+03 9.318267e+38
5.316792e+03 1.091058e+39
5.313496e+03 8.210542e+38
5.310204e+03 1.307430e+39
5.306917e+03 6.547341e+38
5.303633e+03 1.215973e+39
5.300353e+03 1.202134e+39
5.297078e+03 1.221366e+39
5.293806e+03 8.256652e+38
5.290539e+03 1.728969e+39
5.287275e+03 2.832441e+38
5.284016e+03 8.536375e+38
5.280760e+03 1.215942e+39
5.277509e+03 1.506400e+39
5.274262e+03 9.993483e+38
5.271018e+03 1.049951e+39
5.267779e+03 1.315532e+39
5.264543e+03 1.242372e+39
5.261312e+03 7.550185e+38
5.258084e+03 9.353169e+38
5.254861e+03 1.412488e+39
5.251641e+03 1.105737e+39
5.248425e+03 1.238584e+39
5.245214e+03 8.510603e+38
5.242006e+03 9.439155e+38
5.238802e+03 1.528183e+39
5.235602e+03 1.593889e+39
5.232406e+03 1.099248e+39
5.229214e+03 1.047553e+39
5.226026e+03 1.345804e+39
5.222841e+03 1.074714e+39
5.219661e+03 5.799033e+38
5.216484e+03 1.047158e+39
5.213311e+03 1.110398e+39
5.210142e+03 8.303482e+38
5.206977e+03 1.026856e+39
5.203816e+03 1.154170e+39
5.200659e+03 1.515713e+39
5.197505e+03 1.315531e+39
5.194355e+03 1.503965e+39
5.191210e+03 9.779478e+38
5.188067e+03 9.341164e+38
5.184929e+03 1.147423e+39
5.181795e+03 1.624483e+39
5.178664e+03 1.841732e+39
5.175537e+03 1.448235e+39
5.172414e+03 8.853980e+38
5.169294e+03 7.390272e+38
5.166179e+03 1.339488e+39
5.163067e+03 1.057621e+39
5.159959e+03 8.032744e+38
5.156854e+03 8.387123e+38
5.153754e+03 8.729245e+38
5.150657e+03 1.110711e+39
5.147563e+03 1.476658e+39
5.144474e+03 1.427960e+39
5.141388e+03 1.073872e+39
5.138306e+03 1.090571e+39
5.135228e+03 1.067109e+39
5.132153e+03 7.794594e+38
5.129082e+03 6.857605e+38
5.126015e+03 1.470775e+39
5.122951e+03 8.295140e+38
5.119891e+03 1.168649e+39
5.116834e+03 9.717982e+38
5.113782e+03 1.384804e+39
5.110733e+03 1.078566e+39
5.107687e+03 7.911592e+38
5.104645e+03 8.121300e+38
5.101607e+03 1.075015e+39
5.098572e+03 1.359074e+39
5.095541e+03 1.287051e+39
5.092514e+03 1.794234e+39
