# LUMINA-SN GPU Spectrum (Peeling-off / Virtual Packets)
# n_packets=20000000, n_contributions=374813200
# Line contributions: 189807, E-scatter: 374623393
wavelength_A,flux
6802.00,5.823177e+03
6814.00,5.789444e+03
6826.00,5.753967e+03
6838.00,5.803312e+03
6850.00,5.752196e+03
6862.00,5.822306e+03
6874.00,5.687957e+03
6886.00,5.657093e+03
6898.00,5.571222e+03
6910.00,5.546569e+03
6922.00,5.572962e+03
6934.00,5.606390e+03
6946.00,5.534165e+03
6958.00,5.463392e+03
6970.00,5.428927e+03
6982.00,5.525614e+03
6994.00,5.445642e+03
7006.00,5.436755e+03
7018.00,5.329575e+03
7030.00,5.316133e+03
7042.00,5.278781e+03
7054.00,5.272370e+03
7066.00,5.208859e+03
7078.00,5.196374e+03
7090.00,5.276982e+03
7102.00,5.218791e+03
7114.00,5.102053e+03
7126.00,5.049761e+03
7138.00,4.961851e+03
7150.00,5.069673e+03
7162.00,5.084749e+03
7174.00,5.027914e+03
7186.00,4.929433e+03
7198.00,5.035902e+03
7210.00,4.931194e+03
7222.00,4.917152e+03
7234.00,4.890928e+03
7246.00,4.835947e+03
7258.00,4.829131e+03
7270.00,4.743735e+03
7282.00,4.729319e+03
7294.00,4.832249e+03
7306.00,4.728754e+03
7318.00,4.661356e+03
7330.00,4.676579e+03
7342.00,4.601926e+03
7354.00,4.696749e+03
7366.00,4.619108e+03
7378.00,4.567535e+03
7390.00,4.598401e+03
7402.00,4.449757e+03
7414.00,4.551944e+03
7426.00,4.468155e+03
7438.00,4.425412e+03
7450.00,4.467557e+03
7462.00,4.424967e+03
7474.00,4.429157e+03
7486.00,4.412094e+03
7498.00,4.388489e+03
7510.00,4.230610e+03
7522.00,4.246318e+03
7534.00,4.226315e+03
7546.00,4.286057e+03
7558.00,4.222219e+03
7570.00,4.203840e+03
7582.00,4.218431e+03
7594.00,4.234705e+03
7606.00,4.216996e+03
7618.00,4.197151e+03
7630.00,4.188453e+03
7642.00,4.083146e+03
7654.00,4.093195e+03
7666.00,4.110796e+03
7678.00,4.111374e+03
7690.00,4.024944e+03
7702.00,4.037438e+03
7714.00,4.031489e+03
7726.00,3.969564e+03
7738.00,3.946918e+03
7750.00,3.948649e+03
7762.00,3.909794e+03
7774.00,3.912273e+03
7786.00,3.835295e+03
7798.00,3.858385e+03
7810.00,3.842624e+03
7822.00,3.785345e+03
7834.00,3.809301e+03
7846.00,3.775179e+03
7858.00,3.833430e+03
7870.00,3.748023e+03
7882.00,3.705971e+03
7894.00,3.733184e+03
7906.00,3.735913e+03
7918.00,3.675734e+03
7930.00,3.734337e+03
7942.00,3.661634e+03
7954.00,3.641977e+03
7966.00,3.634091e+03
7978.00,3.603476e+03
7990.00,3.584576e+03
8002.00,3.573387e+03
8014.00,3.588004e+03
8026.00,3.502950e+03
8038.00,3.549612e+03
8050.00,3.518687e+03
8062.00,3.507810e+03
8074.00,3.443534e+03
8086.00,3.445262e+03
8098.00,3.388197e+03
8110.00,3.446511e+03
8122.00,3.440390e+03
8134.00,3.434645e+03
8146.00,3.372951e+03
8158.00,3.401574e+03
8170.00,3.317667e+03
8182.00,3.322309e+03
8194.00,3.351786e+03
8206.00,3.331132e+03
8218.00,3.284007e+03
8230.00,3.229461e+03
8242.00,3.264229e+03
8254.00,3.301985e+03
8266.00,3.227494e+03
8278.00,3.162148e+03
8290.00,3.266360e+03
8302.00,3.175786e+03
8314.00,3.172030e+03
8326.00,3.089737e+03
8338.00,3.226094e+03
8350.00,3.138190e+03
8362.00,3.074523e+03
8374.00,3.114745e+03
8386.00,3.099924e+03
8398.00,3.138728e+03
8410.00,3.049020e+03
8422.00,3.035182e+03
8434.00,3.053969e+03
8446.00,3.077578e+03
8458.00,3.031853e+03
8470.00,3.032025e+03
8482.00,2.969944e+03
8494.00,2.994455e+03
8506.00,2.964189e+03
8518.00,2.968044e+03
8530.00,2.907837e+03
8542.00,2.842968e+03
8554.00,2.889723e+03
8566.00,2.908584e+03
8578.00,2.895691e+03
8590.00,2.840966e+03
8602.00,2.871345e+03
8614.00,2.832365e+03
8626.00,2.808925e+03
8638.00,2.848369e+03
8650.00,2.805501e+03
8662.00,2.819608e+03
8674.00,2.792478e+03
8686.00,2.744910e+03
8698.00,2.769335e+03
8710.00,2.753450e+03
8722.00,2.694831e+03
8734.00,2.720114e+03
8746.00,2.705182e+03
8758.00,2.655793e+03
8770.00,2.701248e+03
8782.00,2.712685e+03
8794.00,2.715597e+03
8806.00,2.597997e+03
8818.00,2.603423e+03
8830.00,2.591034e+03
8842.00,2.633715e+03
8854.00,2.580067e+03
8866.00,2.553382e+03
8878.00,2.585748e+03
8890.00,2.565593e+03
8902.00,2.561847e+03
